Year,Month,30ofMonth,30OfWeek,CRSDepTime,CRSArrTime,FlightNum,CRSElapsedTime,AirTime,Origin,Dest,Distance,TaxiIn,TaxiOut,Delayed or not
2002,1,13,7,2235,2353,723,78,55,1,3,366,3,13,Not Delayed 
2002,1,14,1,2235,2353,723,78,60,1,3,366,3,14,Not Delayed 
2002,1,15,2,2235,2353,723,78,55,1,3,366,3,14,Not Delayed 
2002,1,16,3,2235,2353,723,78,57,1,3,366,3,10,Not Delayed 
2002,1,17,4,2235,2353,723,78,60,1,3,366,5,13,Not Delayed 
2002,1,18,5,2235,2353,723,78,59,1,3,366,5,15,Not Delayed 
2002,1,19,6,2235,2353,723,78,56,1,3,366,4,13,Not Delayed 
2002,1,20,7,2235,2353,723,78,59,1,3,366,5,9,Not Delayed 
2002,1,21,1,2235,2353,723,78,57,1,3,366,4,12,Not Delayed 
2002,1,22,2,2235,2353,723,78,63,1,3,366,5,13,Not Delayed 
2002,1,23,3,2235,2353,723,78,62,1,3,366,5,11,Not Delayed 
2002,1,24,4,2235,2353,723,78,65,1,3,366,4,10,Not Delayed 
2002,1,25,5,2235,2353,723,78,55,1,3,366,4,16,Not Delayed 
2002,1,26,6,2235,2353,723,78,50,1,3,366,8,9,Not Delayed 
2002,1,27,7,2235,2353,723,78,52,1,3,366,4,14,Not Delayed 
2002,1,28,1,2235,2353,723,78,53,1,3,366,3,10,Not Delayed 
2002,1,29,2,2235,2353,723,78,54,1,3,366,3,11,Not Delayed 
2002,1,30,3,2235,2353,723,78,54,1,3,366,4,12,Not Delayed 
2002,1,31,4,2235,2353,723,78,55,1,3,366,7,10,Not Delayed 
2002,1,6,7,745,912,724,87,65,2,4,363,7,14,Not Delayed 
2002,1,7,1,745,912,724,87,61,2,4,363,8,11,Not Delayed 
2002,1,8,2,745,912,724,87,67,2,4,363,9,15,Delayed
2002,1,9,3,745,912,724,87,73,2,4,363,6,15,Delayed
2002,1,10,4,745,912,724,87,73,2,4,363,6,11,Not Delayed 
2002,1,11,5,745,912,724,87,65,2,4,363,6,16,Not Delayed 
2002,1,12,6,745,912,724,87,64,2,4,363,7,14,Not Delayed 
2002,1,13,7,745,912,724,87,64,2,4,363,6,33,Delayed
2002,1,14,1,745,912,724,87,62,2,4,363,7,31,Delayed
2002,1,15,2,745,912,724,87,67,2,4,363,5,11,Not Delayed 
2002,1,16,3,745,912,724,87,71,2,4,363,5,10,Not Delayed 
2002,1,17,4,745,912,724,87,75,2,4,363,7,10,Delayed
2002,1,18,5,745,912,724,87,75,2,4,363,6,11,Delayed
2002,1,19,6,745,912,724,87,71,2,4,363,7,12,Not Delayed 
2002,1,20,7,745,912,724,87,67,2,4,363,4,64,Delayed
2002,1,21,1,745,912,724,87,74,2,4,363,10,27,Delayed
2002,1,22,2,745,912,724,87,68,2,4,363,5,14,Not Delayed 
2002,1,23,3,745,912,724,87,71,2,4,363,5,11,Not Delayed 
2002,1,24,4,745,912,724,87,76,2,4,363,5,26,Delayed
2002,1,25,5,745,912,724,87,71,2,4,363,6,12,Not Delayed 
2002,1,26,6,745,912,724,87,64,2,4,363,7,15,Not Delayed 
2002,1,27,7,745,912,724,87,63,2,4,363,4,10,Not Delayed 
2002,1,28,1,745,912,724,87,64,2,4,363,7,15,Not Delayed 
2002,1,29,2,745,912,724,87,67,2,4,363,6,18,Not Delayed 
2002,1,30,3,745,912,724,87,75,2,4,363,4,13,Not Delayed 
2002,1,31,4,745,912,724,87,73,2,4,363,5,11,Delayed
2002,1,1,2,1620,1752,725,92,74,1,11,467,4,14,Not Delayed 
2002,1,2,3,1620,1752,725,92,68,1,11,467,7,31,Delayed
2002,1,3,4,1620,1752,725,92,76,1,11,467,4,10,Not Delayed 
2002,1,4,5,1620,1752,725,92,70,1,11,467,4,8,Delayed
2002,1,5,6,1620,1752,725,92,63,1,11,467,5,11,Not Delayed 
2002,1,1,2,755,1040,726,105,68,5,1,553,6,11,Not Delayed 
2002,1,2,3,755,1040,726,105,70,5,1,553,7,20,Not Delayed 
2002,1,3,4,755,1040,726,105,82,5,1,553,6,17,Not Delayed 
2002,1,4,5,755,1040,726,105,80,5,1,553,5,18,Not Delayed 
2002,1,5,6,755,1040,726,105,75,5,1,553,6,17,Not Delayed 
2002,1,6,7,755,1037,726,102,92,5,1,553,6,15,Delayed
2002,1,8,2,755,1037,726,102,87,5,1,553,9,26,Delayed
2002,1,9,3,755,1037,726,102,73,5,1,553,7,13,Delayed
2002,1,10,4,755,1037,726,102,68,5,1,553,6,19,Not Delayed 
2002,1,11,5,755,1037,726,102,73,5,1,553,7,25,Not Delayed 
2002,1,12,6,755,1037,726,102,74,5,1,553,6,17,Not Delayed 
2002,1,13,7,755,1037,726,102,76,5,1,553,5,19,Not Delayed 
2002,1,14,1,755,1037,726,102,68,5,1,553,6,17,Not Delayed 
2002,1,15,2,755,1037,726,102,78,5,1,553,5,13,Not Delayed 
2002,1,16,3,755,1037,726,102,70,5,1,553,4,28,Not Delayed 
2002,1,17,4,755,1037,726,102,61,5,1,553,7,17,Not Delayed 
2002,1,18,5,755,1037,726,102,66,5,1,553,9,22,Not Delayed 
2002,1,19,6,755,1037,726,102,65,5,1,553,10,19,Not Delayed 
2002,1,20,7,755,1037,726,102,65,5,1,553,8,12,Not Delayed 
2002,1,21,1,755,1037,726,102,80,5,1,553,7,27,Delayed
2002,1,22,2,755,1037,726,102,69,5,1,553,7,21,Not Delayed 
2002,1,23,3,755,1037,726,102,71,5,1,553,4,14,Not Delayed 
2002,1,24,4,755,1037,726,102,68,5,1,553,5,35,Not Delayed 
2002,1,25,5,755,1037,726,102,71,5,1,553,7,24,Not Delayed 
