Year,Month,DayofMonth,DayOfWeek,CRSDepTime,CRSArrTime,FlightNum,CRSElapsedTime,Origin,Dest,Distance,TaxiIn,TaxiOut,ArrDelay===y
2002,1,13,7,2235,2353,723,78,PIT,CLT,366,3,13,-11
2002,1,14,1,2235,2353,723,78,PIT,CLT,366,3,14,-6
2002,1,15,2,2235,2353,723,78,PIT,CLT,366,3,14,-11
2002,1,16,3,2235,2353,723,78,PIT,CLT,366,3,10,-13
2002,1,17,4,2235,2353,723,78,PIT,CLT,366,5,13,-8
2002,1,18,5,2235,2353,723,78,PIT,CLT,366,5,15,-7
2002,1,19,6,2235,2353,723,78,PIT,CLT,366,4,13,-6
2002,1,20,7,2235,2353,723,78,PIT,CLT,366,5,9,-7
2002,1,21,1,2235,2353,723,78,PIT,CLT,366,4,12,-12
2002,1,22,2,2235,2353,723,78,PIT,CLT,366,5,13,-2
2002,1,23,3,2235,2353,723,78,PIT,CLT,366,5,11,-7
2002,1,24,4,2235,2353,723,78,PIT,CLT,366,4,10,-4
2002,1,25,5,2235,2353,723,78,PIT,CLT,366,4,16,-13
2002,1,26,6,2235,2353,723,78,PIT,CLT,366,8,9,-14
2002,1,27,7,2235,2353,723,78,PIT,CLT,366,4,14,-12
2002,1,28,1,2235,2353,723,78,PIT,CLT,366,3,10,-15
2002,1,29,2,2235,2353,723,78,PIT,CLT,366,3,11,-16
2002,1,30,3,2235,2353,723,78,PIT,CLT,366,4,12,-12
2002,1,31,4,2235,2353,723,78,PIT,CLT,366,7,10,-4
2002,1,6,7,745,912,724,87,PHL,CLE,363,7,14,-6
2002,1,7,1,745,912,724,87,PHL,CLE,363,8,11,-8
2002,1,8,2,745,912,724,87,PHL,CLE,363,9,15,1
2002,1,9,3,745,912,724,87,PHL,CLE,363,6,15,2
2002,1,10,4,745,912,724,87,PHL,CLE,363,6,11,-2
2002,1,11,5,745,912,724,87,PHL,CLE,363,6,16,-1
2002,1,12,6,745,912,724,87,PHL,CLE,363,7,14,-7
2002,1,13,7,745,912,724,87,PHL,CLE,363,6,33,36
2002,1,14,1,745,912,724,87,PHL,CLE,363,7,31,27
2002,1,15,2,745,912,724,87,PHL,CLE,363,5,11,-6
2002,1,16,3,745,912,724,87,PHL,CLE,363,5,10,-7
2002,1,17,4,745,912,724,87,PHL,CLE,363,7,10,8
2002,1,18,5,745,912,724,87,PHL,CLE,363,6,11,5
2002,1,19,6,745,912,724,87,PHL,CLE,363,7,12,-2
2002,1,20,7,745,912,724,87,PHL,CLE,363,4,64,57
2002,1,21,1,745,912,724,87,PHL,CLE,363,10,27,27
2002,1,22,2,745,912,724,87,PHL,CLE,363,5,14,-1
2002,1,23,3,745,912,724,87,PHL,CLE,363,5,11,-4
2002,1,24,4,745,912,724,87,PHL,CLE,363,5,26,27
2002,1,25,5,745,912,724,87,PHL,CLE,363,6,12,-2
2002,1,26,6,745,912,724,87,PHL,CLE,363,7,15,-5
2002,1,27,7,745,912,724,87,PHL,CLE,363,4,10,-15
2002,1,28,1,745,912,724,87,PHL,CLE,363,7,15,-6
2002,1,29,2,745,912,724,87,PHL,CLE,363,6,18,-3
2002,1,30,3,745,912,724,87,PHL,CLE,363,4,13,-1
2002,1,31,4,745,912,724,87,PHL,CLE,363,5,11,1
2002,1,1,2,1620,1752,725,92,PIT,PVD,467,4,14,-1
2002,1,2,3,1620,1752,725,92,PIT,PVD,467,7,31,18
2002,1,3,4,1620,1752,725,92,PIT,PVD,467,4,10,-5
2002,1,4,5,1620,1752,725,92,PIT,PVD,467,4,8,58
2002,1,5,6,1620,1752,725,92,PIT,PVD,467,5,11,-16
2002,1,1,2,755,1040,726,105,STL,PIT,553,6,11,-22
2002,1,2,3,755,1040,726,105,STL,PIT,553,7,20,-17
2002,1,3,4,755,1040,726,105,STL,PIT,553,6,17,-6
2002,1,4,5,755,1040,726,105,STL,PIT,553,5,18,-9
2002,1,5,6,755,1040,726,105,STL,PIT,553,6,17,-13
2002,1,6,7,755,1037,726,102,STL,PIT,553,6,15,11
2002,1,8,2,755,1037,726,102,STL,PIT,553,9,26,16
2002,1,9,3,755,1037,726,102,STL,PIT,553,7,13,5
2002,1,10,4,755,1037,726,102,STL,PIT,553,6,19,-14
2002,1,11,5,755,1037,726,102,STL,PIT,553,7,25,-4
2002,1,12,6,755,1037,726,102,STL,PIT,553,6,17,-11
2002,1,13,7,755,1037,726,102,STL,PIT,553,5,19,-8
2002,1,14,1,755,1037,726,102,STL,PIT,553,6,17,-15
2002,1,15,2,755,1037,726,102,STL,PIT,553,5,13,-3
2002,1,16,3,755,1037,726,102,STL,PIT,553,4,28,-5
2002,1,17,4,755,1037,726,102,STL,PIT,553,7,17,-17
2002,1,18,5,755,1037,726,102,STL,PIT,553,9,22,-10
2002,1,19,6,755,1037,726,102,STL,PIT,553,10,19,-8
2002,1,20,7,755,1037,726,102,STL,PIT,553,8,12,-20
2002,1,21,1,755,1037,726,102,STL,PIT,553,7,27,7
2002,1,22,2,755,1037,726,102,STL,PIT,553,7,21,-5
2002,1,23,3,755,1037,726,102,STL,PIT,553,4,14,-19
2002,1,24,4,755,1037,726,102,STL,PIT,553,5,35,-1
2002,1,25,5,755,1037,726,102,STL,PIT,553,7,24,0
2002,1,26,6,755,1037,726,102,STL,PIT,553,7,17,-14
2002,1,27,7,755,1037,726,102,STL,PIT,553,7,10,-19
2002,1,28,1,755,1037,726,102,STL,PIT,553,6,25,5
2002,1,29,2,755,1037,726,102,STL,PIT,553,4,25,-6
2002,1,30,3,755,1037,726,102,STL,PIT,553,5,10,-26
2002,1,31,4,755,1037,726,102,STL,PIT,553,6,16,-15
2002,1,6,7,935,1118,728,103,CLT,BUF,546,7,14,-10
2002,1,7,1,935,1118,728,103,CLT,BUF,546,5,20,-3
2002,1,8,2,935,1118,728,103,CLT,BUF,546,3,22,-4
2002,1,9,3,935,1118,728,103,CLT,BUF,546,3,24,8
2002,1,10,4,935,1118,728,103,CLT,BUF,546,2,15,-5
2002,1,11,5,935,1118,728,103,CLT,BUF,546,2,20,-9
2002,1,12,6,935,1118,728,103,CLT,BUF,546,4,20,-5
2002,1,13,7,935,1118,728,103,CLT,BUF,546,3,19,-4
2002,1,14,1,935,1118,728,103,CLT,BUF,546,4,25,-3
2002,1,15,2,935,1118,728,103,CLT,BUF,546,2,27,0
2002,1,16,3,935,1118,728,103,CLT,BUF,546,3,20,-5
2002,1,17,4,935,1118,728,103,CLT,BUF,546,3,14,-5
2002,1,18,5,935,1118,728,103,CLT,BUF,546,4,26,8
2002,1,19,6,935,1118,728,103,CLT,BUF,546,2,28,8
2002,1,20,7,935,1118,728,103,CLT,BUF,546,3,20,-3
2002,1,21,1,935,1118,728,103,CLT,BUF,546,4,24,20
2002,1,22,2,935,1118,728,103,CLT,BUF,546,3,30,3
2002,1,23,3,935,1118,728,103,CLT,BUF,546,2,14,-11
2002,1,24,4,935,1118,728,103,CLT,BUF,546,5,26,-2
2002,2,23,6,930,1105,704,95,CLT,PHL,448,4,18,-7
2002,2,24,7,930,1105,704,95,CLT,PHL,448,6,19,1
2002,2,25,1,930,1105,704,95,CLT,PHL,448,3,17,-11
2002,2,26,2,930,1105,704,95,CLT,PHL,448,3,14,-16
2002,2,27,3,930,1105,704,95,CLT,PHL,448,8,13,-15
2002,2,28,4,930,1105,704,95,CLT,PHL,448,3,13,-19
2002,2,2,6,655,816,705,81,ALB,PIT,367,9,12,9
2002,2,3,7,655,816,705,81,ALB,PIT,367,10,8,2
2002,2,4,1,655,816,705,81,ALB,PIT,367,8,11,9
2002,2,5,2,655,816,705,81,ALB,PIT,367,6,11,-1
2002,2,6,3,655,816,705,81,ALB,PIT,367,7,29,22
2002,2,7,4,655,816,705,81,ALB,PIT,367,8,11,-2
2002,2,8,5,655,816,705,81,ALB,PIT,367,9,17,9
2002,2,9,6,655,816,705,81,ALB,PIT,367,9,13,0
2002,2,10,7,655,816,705,81,ALB,PIT,367,4,8,-8
2002,2,11,1,655,816,705,81,ALB,PIT,367,8,29,21
2002,2,12,2,655,816,705,81,ALB,PIT,367,8,19,32
2002,2,13,3,655,816,705,81,ALB,PIT,367,6,17,37
